ID,Arrival,Burst,Priority,Start Time,Finish Time,Turnaround Time,Waiting Time,Response Time
P93,3,3,4,3,6,3,0,0
P23,20,8,2,20,28,8,0,0
P52,40,15,1,40,55,15,0,0
P63,21,16,2,28,59,38,22,7
P48,64,18,1,64,82,18,0,0
P61,78,8,1,82,90,12,4,4
P15,23,13,2,59,98,75,62,36
P82,48,4,2,98,102,54,50,50
P74,56,1,2,102,103,47,46,46
P03,57,5,2,103,108,51,46,46
P43,126,3,1,126,129,3,0,0
P62,61,19,2,108,130,69,50,47
P71,63,8,2,130,138,75,67,67
P34,102,9,2,138,147,45,36,36
P05,151,14,1,151,165,14,0,0
P01,163,4,1,165,169,6,2,2
P32,175,11,1,175,186,11,0,0
P70,132,15,2,147,191,59,44,15
P21,147,7,2,191,198,51,44,44
P58,199,17,1,199,216,17,0,0
P27,171,9,2,198,224,53,44,27
P04,173,18,2,224,242,69,51,51
P85,186,2,2,242,244,58,56,56
P14,195,11,2,244,255,60,49,49
P44,28,5,3,255,260,232,227,227
P89,35,14,3,260,274,239,225,225
P11,71,1,3,274,275,204,203,203
P56,155,7,3,275,282,127,120,120
P25,162,12,3,282,294,132,120,120
P37,164,15,3,294,309,145,130,130
P29,186,8,3,309,317,131,123,123
P64,194,18,3,317,335,141,123,123
P08,6,18,4,6,339,333,315,0
P06,7,3,4,339,342,335,332,332
P77,18,17,4,342,359,341,324,324
P87,27,8,4,359,367,340,332,332
P38,67,5,4,367,372,305,300,300
P13,71,5,4,372,385,314,309,301
P90,71,15,4,374,407,336,321,303
P78,71,16,4,373,408,337,321,302
P26,94,12,4,408,420,326,314,314
P80,147,16,4,420,436,289,273,273
P67,155,14,4,436,450,295,281,281
P31,163,18,4,450,468,305,287,287
P75,181,2,4,468,470,289,287,287
P02,189,9,4,470,479,290,281,281
P97,0,13,5,0,489,489,476,0
P22,11,8,5,489,497,486,478,478
P19,20,18,5,497,515,495,477,477
P100,39,7,5,515,522,483,476,476
P30,118,13,5,522,535,417,404,404
P68,138,7,5,535,542,404,397,397
P98,200,15,5,542,557,357,342,342
P60,4,4,6,557,561,557,553,553
P86,15,13,6,561,574,559,546,546
P76,17,2,6,574,576,559,557,557
P35,54,19,6,576,595,541,522,522
P33,58,2,6,595,597,539,537,537
P41,149,13,6,597,610,461,448,448
P20,160,20,6,610,630,470,450,450
P83,168,14,6,630,644,476,462,462
P12,178,14,6,644,658,480,466,466
P50,192,9,6,658,667,475,466,466
P96,15,6,7,667,673,658,652,652
P46,16,13,7,673,686,670,657,657
P51,28,10,7,686,696,668,658,658
P36,54,16,7,696,712,658,642,642
P40,67,19,7,712,731,664,645,645
P95,123,7,7,731,738,615,608,608
P18,137,4,7,738,742,605,601,601
P09,183,18,7,742,760,577,559,559
P81,200,16,7,760,776,576,560,560
P94,42,14,8,776,790,748,734,734
P88,48,18,8,790,808,760,742,742
P17,67,2,8,808,810,743,741,741
P24,97,9,8,810,819,722,713,713
P69,102,12,8,819,831,729,717,717
P84,108,14,8,831,858,750,736,723
P99,108,18,8,832,863,755,737,724
P59,153,11,8,863,874,721,710,710
P91,19,15,9,874,889,870,855,855
P92,25,2,9,889,891,866,864,864
P55,27,10,9,891,901,874,864,864
P65,32,16,9,901,917,885,869,869
P66,42,9,9,917,926,884,875,875
P42,56,5,9,926,931,875,870,870
P57,95,6,9,931,937,842,836,836
P47,152,15,9,937,952,800,785,785
P28,155,6,9,952,958,803,797,797
P49,174,4,9,958,962,788,784,784
P53,184,9,9,962,971,787,778,778
P39,190,18,9,971,989,799,781,781
P54,195,6,9,989,995,800,794,794
P10,56,15,10,995,1010,954,939,939
P07,59,17,10,1010,1027,968,951,951
P72,86,1,10,1027,1028,942,941,941
P16,91,12,10,1028,1040,949,937,937
P79,138,5,10,1040,1045,907,902,902
P73,141,8,10,1045,1053,912,904,904
P45,174,14,10,1053,1067,893,879,879
