ID,Arrival,Burst,Priority,Start Time,Finish Time,Turnaround Time,Waiting Time,Response Time
P97,0,13,5,0,13,13,0,0
P93,3,3,4,13,16,13,10,10
P06,7,3,4,16,19,12,9,9
P76,17,2,6,19,21,4,2,2
P60,4,4,6,21,25,21,17,17
P92,25,2,9,25,27,2,0,0
P96,15,6,7,27,33,18,12,12
P44,28,5,3,33,38,10,5,5
P22,11,8,5,38,46,35,27,27
P100,39,7,5,46,53,14,7,7
P82,48,4,2,53,57,9,5,5
P74,56,1,2,57,58,2,1,1
P33,58,2,6,58,60,2,0,0
P42,56,5,9,60,65,9,4,4
P03,57,5,2,65,70,13,8,8
P17,67,2,8,70,72,5,3,3
P11,71,1,3,72,73,2,1,1
P38,67,5,4,73,78,11,6,6
P13,71,5,4,78,83,12,7,7
P23,20,8,2,83,91,71,63,63
P72,86,1,10,91,92,6,5,5
P87,27,8,4,92,100,73,65,65
P57,95,6,9,100,106,11,5,5
P71,63,8,2,106,114,51,43,43
P61,78,8,1,114,122,44,36,36
P66,42,9,9,122,131,89,80,80
P43,126,3,1,131,134,8,5,5
P95,123,7,7,134,141,18,11,11
P18,137,4,7,141,145,8,4,4
P79,138,5,10,145,150,12,7,7
P68,138,7,5,150,157,19,12,12
P28,155,6,9,157,163,8,2,2
P01,163,4,1,163,167,4,0,0
P21,147,7,2,167,174,27,20,20
P49,174,4,9,174,178,4,0,0
P56,155,7,3,178,185,30,23,23
P75,181,2,4,185,187,6,4,4
P85,186,2,2,187,189,3,1,1
P73,141,8,10,189,197,56,48,48
P54,195,6,9,197,203,8,2,2
P29,186,8,3,203,211,25,17,17
P24,97,9,8,211,220,123,114,114
P34,102,9,2,220,229,127,118,118
P27,171,9,2,229,238,67,58,58
P53,184,9,9,238,247,63,54,54
P02,189,9,4,247,256,67,58,58
P50,192,9,6,256,265,73,64,64
P55,27,10,9,265,275,248,238,238
P51,28,10,7,275,285,257,247,247
P59,153,11,8,285,296,143,132,132
P32,175,11,1,296,307,132,121,121
P14,195,11,2,307,318,123,112,112
P16,91,12,10,318,330,239,227,227
P26,94,12,4,330,342,248,236,236
P69,102,12,8,342,354,252,240,240
P25,162,12,3,354,366,204,192,192
P86,15,13,6,366,379,364,351,351
P46,16,13,7,379,392,376,363,363
P15,23,13,2,392,405,382,369,369
P30,118,13,5,405,418,300,287,287
P41,149,13,6,418,431,282,269,269
P89,35,14,3,431,445,410,396,396
P94,42,14,8,445,459,417,403,403
P84,108,14,8,459,473,365,351,351
P05,151,14,1,473,487,336,322,322
P67,155,14,4,487,501,346,332,332
P83,168,14,6,501,515,347,333,333
P45,174,14,10,515,529,355,341,341
P12,178,14,6,529,543,365,351,351
P91,19,15,9,543,558,539,524,524
P52,40,15,1,558,573,533,518,518
P10,56,15,10,573,588,532,517,517
P90,71,15,4,588,603,532,517,517
P70,132,15,2,603,618,486,471,471
P47,152,15,9,618,633,481,466,466
P37,164,15,3,633,648,484,469,469
P98,200,15,5,648,663,463,448,448
P63,21,16,2,663,679,658,642,642
P65,32,16,9,679,695,663,647,647
P36,54,16,7,695,711,657,641,641
P78,71,16,4,711,727,656,640,640
P80,147,16,4,727,743,596,580,580
P81,200,16,7,743,759,559,543,543
P77,18,17,4,759,776,758,741,741
P07,59,17,10,776,793,734,717,717
P58,199,17,1,793,810,611,594,594
P08,6,18,4,810,828,822,804,804
P19,20,18,5,828,846,826,808,808
P88,48,18,8,846,864,816,798,798
P48,64,18,1,864,882,818,800,800
P99,108,18,8,882,900,792,774,774
P31,163,18,4,900,918,755,737,737
P04,173,18,2,918,936,763,745,745
P09,183,18,7,936,954,771,753,753
P39,190,18,9,954,972,782,764,764
P64,194,18,3,972,990,796,778,778
P35,54,19,6,990,1009,955,936,936
P62,61,19,2,1009,1028,967,948,948
P40,67,19,7,1028,1047,980,961,961
P20,160,20,6,1047,1067,907,887,887
