ID,Arrival,Burst,Priority,Start Time,Finish Time,Turnaround Time,Waiting Time,Response Time
P93,3,3,4,3,6,3,0,0
P60,4,4,6,6,10,6,2,2
P06,7,3,4,10,13,6,3,3
P76,17,2,6,17,19,2,0,0
P22,11,8,5,13,23,12,4,2
P92,25,2,9,25,27,2,0,0
P96,15,6,7,23,31,16,10,8
P44,28,5,3,31,36,8,3,3
P23,20,8,2,36,44,24,16,16
P100,39,7,5,44,51,12,5,5
P82,48,4,2,51,55,7,3,3
P74,56,1,2,56,57,1,0,0
P33,58,2,6,58,60,2,0,0
P42,56,5,9,57,64,8,3,1
P03,57,5,2,64,69,12,7,7
P17,67,2,8,69,71,4,2,2
P11,71,1,3,71,72,1,0,0
P38,67,5,4,72,77,10,5,5
P13,71,5,4,77,82,11,6,6
P72,86,1,10,86,87,1,0,0
P87,27,8,4,55,90,63,55,28
P71,63,8,2,90,98,35,27,27
P57,95,6,9,98,104,9,3,3
P61,78,8,1,104,112,34,26,26
P66,42,9,9,112,121,79,70,70
P43,126,3,1,126,129,3,0,0
P24,97,9,8,121,133,36,27,24
P95,123,7,7,133,140,17,10,10
P18,137,4,7,140,144,7,3,3
P79,138,5,10,144,149,11,6,6
P68,138,7,5,149,156,18,11,11
P28,155,6,9,156,162,7,1,1
P01,163,4,1,163,167,4,0,0
P21,147,7,2,162,173,26,19,15
P49,174,4,9,174,178,4,0,0
P75,181,2,4,181,183,2,0,0
P56,155,7,3,173,186,31,24,18
P85,186,2,2,186,188,2,0,0
P73,141,8,10,188,196,55,47,47
P54,195,6,9,196,202,7,1,1
P29,186,8,3,202,210,24,16,16
P34,102,9,2,210,219,117,108,108
P27,171,9,2,219,228,57,48,48
P53,184,9,9,228,237,53,44,44
P02,189,9,4,237,246,57,48,48
P50,192,9,6,246,255,63,54,54
P97,0,13,5,0,265,265,252,0
P55,27,10,9,265,275,248,238,238
P51,28,10,7,275,285,257,247,247
P59,153,11,8,285,296,143,132,132
P32,175,11,1,296,307,132,121,121
P14,195,11,2,307,318,123,112,112
P16,91,12,10,318,330,239,227,227
P26,94,12,4,330,342,248,236,236
P69,102,12,8,342,354,252,240,240
P25,162,12,3,354,366,204,192,192
P86,15,13,6,366,379,364,351,351
P46,16,13,7,379,392,376,363,363
P15,23,13,2,392,405,382,369,369
P30,118,13,5,405,418,300,287,287
P41,149,13,6,418,431,282,269,269
P89,35,14,3,431,445,410,396,396
P94,42,14,8,445,459,417,403,403
P84,108,14,8,459,473,365,351,351
P05,151,14,1,473,487,336,322,322
P67,155,14,4,487,501,346,332,332
P83,168,14,6,501,515,347,333,333
P45,174,14,10,515,529,355,341,341
P12,178,14,6,529,543,365,351,351
P91,19,15,9,543,558,539,524,524
P52,40,15,1,558,573,533,518,518
P10,56,15,10,573,588,532,517,517
P90,71,15,4,588,603,532,517,517
P70,132,15,2,603,618,486,471,471
P47,152,15,9,618,633,481,466,466
P37,164,15,3,633,648,484,469,469
P98,200,15,5,648,663,463,448,448
P63,21,16,2,663,679,658,642,642
P65,32,16,9,679,695,663,647,647
P36,54,16,7,695,711,657,641,641
P78,71,16,4,711,727,656,640,640
P80,147,16,4,727,743,596,580,580
P81,200,16,7,743,759,559,543,543
P77,18,17,4,759,776,758,741,741
P07,59,17,10,776,793,734,717,717
P58,199,17,1,793,810,611,594,594
P08,6,18,4,810,828,822,804,804
P19,20,18,5,828,846,826,808,808
P88,48,18,8,846,864,816,798,798
P48,64,18,1,864,882,818,800,800
P99,108,18,8,882,900,792,774,774
P31,163,18,4,900,918,755,737,737
P04,173,18,2,918,936,763,745,745
P09,183,18,7,936,954,771,753,753
P39,190,18,9,954,972,782,764,764
P64,194,18,3,972,990,796,778,778
P35,54,19,6,990,1009,955,936,936
P62,61,19,2,1009,1028,967,948,948
P40,67,19,7,1028,1047,980,961,961
P20,160,20,6,1047,1067,907,887,887
